"rank","name","pop2021","pop2010","change","density"
"118","Bellflower","75493","76624","-0.0148","4763.4462"
"119","Baldwin Park","74609","75421","-0.0108","4344.0719"
"120","Turlock","74101","68848","0.0763","1690.6187"
"121","Apple Valley","73661","69307","0.0628","379.5843"
"122","Union City","73201","69630","0.0513","1456.8842"
"123","Pittsburg","72864","63522","0.1471","1594.8275"
"124","Rocklin","72339","57474","0.2586","1409.9026"
"125","Camarillo","71898","65257","0.1018","1410.5917"
"126","Lake Elsinore","71747","53627","0.3379","723.9479"
"127","Redlands","71707","68807","0.0421","772.1099"
"128","Walnut Creek","70812","64314","0.1010","1383.8794"
"129","Davis","69799","65584","0.0643","2725.7355"
"130","Lynwood","69091","69595","-0.0072","5511.5390"
"131","Lodi","68752","62253","0.1044","1946.4246"
"132","South San Francisco","68133","63701","0.0696","2851.4690"
"133","Tulare","67940","59432","0.1432","1287.7009"
"134","Yorba Linda","67754","64390","0.0522","1318.3892"
"135","Yuba City","67640","65631","0.0306","1752.7039"
"136","Dublin","67632","45903","0.4734","1714.7334"
"137","Laguna Niguel","66997","63119","0.0614","1754.8129"
"138","Madera","66700","61603","0.0827","1577.0409"
"139","Brentwood","65902","51813","0.2719","1712.4163"
"140","Redondo Beach","65835","66933","-0.0164","4101.4858"
"141","Florence-Graham","65716","63387","0.0367","7230.1352"
"142","Eastvale","64841","54054","0.1996","1975.7213"
"143","Santa Cruz","64538","60578","0.0654","1955.8688"
"144","Carmichael","64454","61762","0.0436","1850.0637"
"145","San Clemente","64276","63605","0.0105","1352.1542"
"146","Palo Alto","63576","64535","-0.0149","1029.0742"
"147","Castro Valley","63013","61388","0.0265","1466.4963"
"148","Encinitas","62627","59684","0.0493","1269.0555"
"149","National City","61638","58624","0.0514","3263.4628"
"150","Montebello","60982","62490","-0.0241","2825.8966"
"151","Pico Rivera","60727","62960","-0.0355","2826.6678"
"152","Woodland","60696","55615","0.0914","1531.0184"
"153","South Whittier","60357","57156","0.0560","4366.4815"
"154","La Habra","59983","59108","0.0148","3149.2595"
"155","Gilroy","59920","49006","0.2227","1398.9932"
"156","Porterville","59427","58197","0.0211","1232.9765"
"157","Hanford","59167","54463","0.0864","1312.8821"
"158","La Mesa","58969","57149","0.0318","2503.4600"
"159","Gardena","58907","58835","0.0012","3901.7977"
"160","Monterey Park","58611","60218","-0.0267","2949.2037"
"161","Santee","58355","53640","0.0879","1362.3333"
"162","San Rafael","57912","57797","0.0020","1349.6249"
"163","Petaluma","57908","58037","-0.0022","1551.0379"
"164","Cupertino","57820","58689","-0.0148","1973.6550"
"165","Arcadia","57047","56322","0.0129","2016.1584"
"166","Huntington Park","56531","58125","-0.0274","7245.2791"
"167","Highland","55629","53218","0.0453","1145.6220"
"168","Cathedral City","55435","51452","0.0774","951.8961"
"169","Novato","55268","51970","0.0635","777.4294"
"170","Colton","55198","52261","0.0562","1371.2937"
"171","Hacienda Heights","55188","54038","0.0213","1906.2159"
"172","Diamond Bar","54948","55588","-0.0115","1426.5983"
"173","Beaumont","54937","37261","0.4744","699.6410"
"174","Delano","54877","53130","0.0329","1483.2624"
"175","Fountain Valley","54745","55470","-0.0131","2330.0702"
"176","Yucaipa","54649","51474","0.0617","745.7652"
"177","Watsonville","53818","51278","0.0495","3107.1313"
"178","Rosemead","53722","53795","-0.0014","4018.1603"
"179","Palm Desert","53567","48684","0.1003","771.4186"
"180","West Sacramento","53355","48842","0.0924","959.5084"
"181","Paramount","53347","54104","-0.0140","4355.4260"
"182","Newark","51077","42628","0.1982","1421.3245"
"183","Glendora","50940","50376","0.0112","1008.1559"
"184","Placentia","50623","50994","-0.0073","2955.3455"
"185","Rowland Heights","50347","48993","0.0276","1486.7455"
"186","Azusa","50300","46534","0.0809","2009.0266"
"187","Aliso Viejo","50249","47801","0.0512","2803.8859"
"188","San Jacinto","50177","44417","0.1297","753.4390"
"189","Cypress","49366","47957","0.0294","2882.2317"
"190","Lincoln","49101","43099","0.1393","806.4164"
"191","Ceres","49038","45901","0.0683","2023.5958"
"192","Cerritos","49001","49042","-0.0008","2169.1840"
"193","Palm Springs","48844","44781","0.0907","199.4699"
"194","Poway","48817","47951","0.0181","482.3147"
"195","Antelope","48398","45770","0.0574","2733.4700"
"196","San Luis Obispo","47777","45156","0.0580","1384.1706"
"197","Morgan Hill","47688","38071","0.2526","1416.7474"
"198","North Highlands","47661","42694","0.1163","2088.4071"
"199","Florin","47555","47513","0.0009","2109.6082"
"200","La Mirada","47461","48535","-0.0221","2342.6078"
"201","Rancho Santa Margarita","47294","47918","-0.0130","1416.0431"
"202","Covina","46710","47785","-0.0225","2566.0464"
"203","El Dorado Hills","46593","42108","0.1065","371.2264"
"204","Coachella","45727","40984","0.1157","587.0286"
"205","Altadena","44850","42777","0.0485","2045.4421"
"206","Danville","44164","41987","0.0518","943.2983"
"207","El Centro","44059","42678","0.0324","1478.0634"
"208","Oakley","43387","35666","0.2165","1056.0405"
"209","Los Banos","43188","36070","0.1973","1668.6113"
"210","Lompoc","43181","42322","0.0203","1434.3989"
"211","Brea","42797","39422","0.0856","1359.0879"
"212","Hollister","42720","34973","0.2215","2244.7821"
"213","Rohnert Park","42521","40855","0.0408","2344.2660"
"214","San Bruno","42335","41145","0.0289","2985.8378"
"215","La Quinta","42316","37670","0.1233","463.3830"
"216","Bell Gardens","41652","42056","-0.0096","6541.1065"
"217","Montclair","41601","36743","0.1322","2912.2768"
"218","Rancho Palos Verdes","40948","41692","-0.0178","1173.5944"
"219","Campbell","40893","40669","0.0055","2599.6160"
"220","Culver City","39437","38888","0.0141","2979.3004"
"221","Calexico","39331","38661","0.0173","1761.7943"
"222","San Gabriel","39303","39647","-0.0087","3661.4063"
"223","La Puente","39298","39843","-0.0137","4361.5692"
"224","La Presa","38227","34169","0.1188","2684.7254"
"225","Pacifica","38130","37394","0.0197","1162.7411"
"226","Martinez","38079","36157","0.0532","1163.9864"
"227","Stanton","38073","37900","0.0046","4746.0851"
"228","Wildomar","37515","32416","0.1573","611.4835"
"229","Moorpark","36249","34644","0.0463","1112.5741"
"230","French Valley","36126","23067","0.5661","1282.7970"
"231","Claremont","36058","34899","0.0332","1042.7053"
"232","West Hollywood","36051","34359","0.0492","7374.4587"
"233","San Juan Capistrano","35929","34483","0.0419","961.3162"
"234","Foothill Farms","35881","33121","0.0833","3300.2217"
"235","Monrovia","35809","36599","-0.0216","1014.0688"
"236","Temple City","35417","35556","-0.0039","3414.8717"
"237","Bell","35339","35481","-0.0040","5458.4013"
"238","Westmont","35266","31853","0.1071","7369.5759"
"239","Menlo Park","35094","32080","0.0940","1353.3869"
"240","Orangevale","34824","33960","0.0254","1172.5726"
"241","Oildale","34763","32684","0.0636","2054.6358"
"242","Pleasant Hill","34739","33155","0.0478","1895.9645"
"243","Manhattan Beach","34713","35123","-0.0117","3404.1030"
"244","Adelanto","34007","31661","0.0741","248.1828"
"245","Seaside","33680","33094","0.0177","1407.2913"
"246","Foster City","33485","30609","0.0940","3405.9724"
"247","Dana Point","33473","33336","0.0041","1992.7489"
"248","Beverly Hills","33274","33937","-0.0195","2250.7373"
"249","San Dimas","33101","33377","-0.0083","849.8549"
"250","El Paso de Robles Paso Robles","32193","29786","0.0808","632.8037"
"251","Lawndale","31873","32775","-0.0275","6233.6692"
"252","Burlingame","31799","28838","0.1027","2786.9901"
"253","La Verne","31730","31103","0.0202","1452.7191"
"254","Fallbrook","31701","30534","0.0382","697.8003"
"255","Spring Valley","31650","28205","0.1221","1664.3966"
"256","Banning","31193","29723","0.0495","517.5870"
"257","Orcutt","31118","28905","0.0766","1079.7663"
"258","Fair Oaks","31032","30912","0.0039","1102.8934"
"259","Laguna Hills","30831","30713","0.0038","1802.6451"
"260","Goleta","30825","30143","0.0226","1515.9339"
"261","San Pablo","30770","29474","0.0440","4517.8644"
"262","Wasco","30300","25683","0.1798","1246.1187"
"263","San Carlos","29893","28417","0.0519","2093.3767"
"264","Atwater","29847","28286","0.0552","1891.5767"
"265","Atascadero","29711","28418","0.0455","440.1232"
"266","Suisun City","29669","28098","0.0559","2820.6225"
"267","Santa Paula","29558","29325","0.0079","2513.8415"
"268","Los Gatos","29468","29792","-0.0109","998.8408"
"269","Saratoga","29389","30078","-0.0229","888.7713"
"270","Los Altos","29355","29091","0.0091","1748.9142"
"271","Walnut","29235","29203","0.0011","1255.3460"
"272","Ridgecrest","29217","27684","0.0554","540.2572"
"273","Desert Hot Springs","29004","27172","0.0674","370.5383"
"274","East Palo Alto","28970","28222","0.0265","4437.1742"
"275","Coronado","28521","23961","0.1903","1381.2291"
"276","Vineyard","28386","24836","0.1429","637.0888"
"277","Monterey","28194","27908","0.0102","1260.2529"
"278","Benicia","28156","27063","0.0404","846.7130"
"279","Isla Vista","27707","23096","0.1996","5782.8816"
"280","Temescal Valley","27630","0","","551.5609"
"281","Hercules","27604","24147","0.1432","1662.8014"
"282","Imperial Beach","27596","26388","0.0458","2478.0668"
"283","Ladera Ranch","27277","22980","0.1870","2143.0872"
"284","Lemoore","27235","24537","0.1100","1193.0106"
"285","Lathrop","26995","17695","0.5256","525.7100"
"286","Lafayette","26866","23873","0.1254","689.4534"
"287","Galt","26852","23739","0.1311","1523.6647"
"288","Belmont","26673","25870","0.0310","2222.3055"
"289","Lemon Grove","26663","25380","0.0506","2654.2497"
"290","West Whittier-Los Nietos","26654","25540","0.0436","4085.2173"
"291","Maywood","26527","27381","-0.0312","8691.3928"
"292","Brawley","26337","25038","0.0519","1252.6933"
"293","Norco","26230","27240","-0.0371","732.1662"
"294","Eureka","26194","27201","-0.0370","1077.7295"
"295","Soledad","26061","26027","0.0013","2245.5539"
"296","Windsor","25846","26811","-0.0360","1372.7354"
"297","Bay Point","25808","21349","0.2089","1544.6955"
"298","Reedley","25760","24414","0.0551","1826.0309"
"299","San Lorenzo","25569","23452","0.0903","3557.0500"
"300","Sanger","25505","24298","0.0497","1709.0838"
"301","Twentynine Palms","25477","25101","0.0150","167.4136"
"302","El Cerrito","25310","23644","0.0705","2672.3147"
"303","Riverbank","25243","22762","0.1090","2406.7312"
"304","Selma","24959","23459","0.0639","1670.6046"
"305","South Pasadena","24927","25607","-0.0266","2825.2103"
"306","Dinuba","24911","21570","0.1549","1477.0039"
"307","Loma Linda","24784","23368","0.0606","1249.7038"
"308","North Tustin","24705","24917","-0.0085","1442.7794"
"309","Ashland","24430","21925","0.1143","5132.9460"
"310","San Fernando","24092","23643","0.0190","3918.2266"
"311","Oakdale","23998","20823","0.1525","1498.9663"
"312","Oroville","23951","18700","0.2808","668.4510"
"313","Barstow","23857","22812","0.0458","223.1670"
"314","Calabasas","23825","23464","0.0154","672.3502"
"315","Valinda","23705","22822","0.0387","4544.1388"
"316","Rosemont","23602","22681","0.0406","2084.0066"
"317","Seal Beach","23588","24109","-0.0216","807.7584"
"318","Winter Gardens","23545","20631","0.1412","2056.7630"
"319","Marina","23431","19743","0.1868","1017.7745"
"320","West Puente Valley","23382","22636","0.0330","4829.9838"
"321","Cudahy","23197","23809","-0.0257","7617.4870"
"322","Granite Bay","23183","20402","0.1363","416.1439"
"323","West Rancho Dominguez","22901","5669","3.0397","2225.2128"
"324","Patterson","22882","20647","0.1082","1133.2155"
"325","Willowbrook","22811","35983","-0.3661","5694.6494"
"326","Arvin","22661","19345","0.1714","1815.4798"
"327","Laguna Beach","22619","22765","-0.0064","982.1793"
"328","South Lake Tahoe","22487","21410","0.0503","855.0353"
"329","Corcoran","22440","24467","-0.0828","1175.1521"
"330","Millbrae","22122","21572","0.0255","2627.1225"
"331","West Carson","22079","21699","0.0175","3762.2645"
"332","Yucca Valley","21949","20695","0.0606","212.7625"
"333","Lakeside","21917","20648","0.0615","1221.3566"
"334","Bloomington","21847","23851","-0.0840","1389.2192"
"335","Lennox","21818","22753","-0.0411","7703.4704"
"336","Rancho San Diego","21799","21208","0.0279","967.8637"
"337","Port Hueneme","21544","21726","-0.0084","1880.5538"
"338","Ramona","21323","20292","0.0508","214.1969"
"339","Shafter","21207","17160","0.2358","211.4505"
"340","Dixon","21138","18431","0.1469","1155.1451"
"341","American Canyon","21003","19633","0.0698","1332.4156"
"342","Duarte","20905","21348","-0.0208","1203.2693"
"343","Rosamond","20851","18150","0.1488","154.4576"
"344","Prunedale","20327","17560","0.1576","170.3856"
"345","South El Monte","20264","20100","0.0082","2751.7766"
"346","Linda","20228","17773","0.1381","909.7574"
"347","East Hemet","20211","17418","0.1604","1500.6683"
"348","Mead Valley","20145","18510","0.0883","407.5691"
"349","Orinda","20136","17820","0.1300","604.9027"
"350","Lomita","20064","20263","-0.0098","4051.9663"
"351","South San Jose Hills","19977","20551","-0.0279","5115.1203"
"352","Agoura Hills","19844","20338","-0.0243","982.1817"
"353","Casa de Oro-Mount Helix","19804","18762","0.0555","1116.2340"
"354","La Canada Flintridge","19705","20258","-0.0273","881.9830"
"355","La Crescenta-Montrose","19689","19653","0.0018","2217.7292"
"356","Castaic","19400","19015","0.0202","1031.4815"
"357","Albany","19318","18539","0.0420","4169.2205"
"358","Stevenson Ranch","19179","17557","0.0924","1165.0468"
"359","Cameron Park","19171","18228","0.0517","659.2844"
"360","Hermosa Beach","19152","19506","-0.0181","5186.3647"
"361","Blythe","19118","20569","-0.0705","277.4416"
"362","Pinole","19100","18377","0.0393","1444.9446"
"363","Imperial","19018","14836","0.2819","1177.5195"
"364","Rancho Mirage","18974","17218","0.1020","288.9458"
"365","Arcata","18801","17681","0.0633","774.9187"
"366","Coalinga","17989","18330","-0.0186","1055.3271"
"367","Mountain House","17966","9675","0.8570","2172.6538"
"368","Moraga","17963","16057","0.1187","732.7799"
"369","Woodcrest","17859","14347","0.2448","606.0472"
"370","Arroyo Grande","17854","17292","0.0325","1161.0545"
"371","Valle Vista","17663","14578","0.2116","992.5822"
"372","Nipomo","17601","16714","0.0531","457.5503"
"373","Chowchilla","17512","18718","-0.0644","609.8852"
"374","Greenfield","17426","16414","0.0617","3149.6945"
"375","Santa Fe Springs","17342","16255","0.0669","754.6103"
